env_data_hist,env_data_edge,env_data_min,env_data_mean,env_data_max,diff_hist,diff_edge,auto_correlation_arr,auto_correlation_idx,trend,change_period_hist,change_period_edge,amplitude_hist,amplitude_edge
,,,,,,,-0.10240275592966579,40.0,,,,,
,,,,,,,-0.027242354033791327,41.0,,,,,
,,,,,,,0.06610441923162194,42.0,,,,,
,,,,,,,0.15078194176483828,43.0,,,,,
,,,,,,,0.20291133114251467,44.0,,,,,
,,,,,,,0.20725459510482916,45.0,,,,,
,,,,,,,0.1631962515475713,46.0,,,,,
,,,,,,,0.08329017040689908,47.0,,,,,
,,,,,,,-0.01019972880818005,48.0,,,,,
,,,,,,,-0.09031421730315861,49.0,,,,,
,,,,,,,-0.13493384162247643,50.0,,,,,
,,,,,,,-0.13352614038728636,51.0,,,,,
,,,,,,,-0.0882535969744254,52.0,,,,,
,,,,,,,-0.0148957474146641,53.0,,,,,
,,,,,,,0.06443080513707783,54.0,,,,,
,,,,,,,0.12779532296850724,55.0,,,,,
,,,,,,,0.15807103514571874,56.0,,,,,
,,,,,,,0.14901852044822753,57.0,,,,,
,,,,,,,0.10536195027945197,58.0,,,,,
,,,,,,,0.04066909594180521,59.0,,,,,
,,,,,,,-0.0257764266201742,60.0,,,,,
,,,,,,,-0.07447916192744636,61.0,,,,,
,,,,,,,-0.09308306960587544,62.0,,,,,
,,,,,,,-0.07836993708246032,63.0,,,,,
,,,,,,,-0.03677572336193688,64.0,,,,,
,,,,,,,0.017126009392067484,65.0,,,,,
,,,,,,,0.06651586468901255,66.0,,,,,
,,,,,,,0.09761967007931938,67.0,,,,,
,,,,,,,0.10272571215426099,68.0,,,,,
,,,,,,,0.0832259471889932,69.0,,,,,
,,,,,,,0.04694465618423655,70.0,,,,,
,,,,,,,0.0067721464611676255,71.0,,,,,
,,,,,,,-0.024766683170518156,72.0,,,,,
,,,,,,,-0.03858691566107471,73.0,,,,,
,,,,,,,-0.03180623909411918,74.0,,,,,
,,,,,,,-0.00860088232897958,75.0,,,,,
,,,,,,,0.02230946413644907,76.0,,,,,
,,,,,,,0.04877444242480168,77.0,,,,,
,,,,,,,0.06223616024657882,78.0,,,,,
,,,,,,,0.058410534594105466,79.0,,,,,
,,,,,,,0.03943618674147302,80.0,,,,,
,,,,,,,0.0120550217941865,81.0,,,,,
,,,,,,,-0.01429043195186068,82.0,,,,,
,,,,,,,-0.02978599139882561,83.0,,,,,
,,,,,,,-0.028889809754569024,84.0,,,,,
,,,,,,,-0.01290620378203789,85.0,,,,,
,,,,,,,0.014061447882702959,86.0,,,,,
,,,,,,,0.0417468701651733,87.0,,,,,
,,,,,,,0.059583915208670346,88.0,,,,,
,,,,,,,0.06265670371903424,89.0,,,,,
,,,,,,,0.05041867546654123,90.0,,,,,
,,,,,,,0.026739969741301148,91.0,,,,,
,,,,,,,-0.00034471552875161757,92.0,,,,,
,,,,,,,-0.02172649928562861,93.0,,,,,
,,,,,,,-0.030305082389444824,94.0,,,,,
,,,,,,,-0.02291305829238733,95.0,,,,,
,,,,,,,-0.0016432153730183455,96.0,,,,,
