time, color, angle
33146, 19, -50
33187, 51, 50
33227, 62, 50
33268, 70, 50
33315, 73, 50
33356, 70, 50
33396, 64, 50
33436, 48, 50
33476, 22, -50
33517, 7, -50
33558, 5, -50
33598, 5, -50
33639, 5, -50
33685, 13, -50
33726, 28, -50
33766, 50, 50
33807, 66, 50
33847, 72, 50
33888, 74, 50
33928, 72, 50
33968, 72, 50
34008, 61, 50
34048, 39, -50
34088, 13, -50
34128, 5, -50
34169, 5, -50
34210, 5, -50
34255, 16, -50
34296, 42, 50
34336, 62, 50
34376, 67, 50
34416, 73, 50
34456, 69, 50
34496, 59, 50
34537, 37, -50
34584, 16, -50
34626, 7, -50
34667, 6, -50
34708, 11, -50
34749, 27, -50
34789, 53, 50
34830, 64, 50
34874, 73, 50
34915, 74, 50
34956, 72, 50
34997, 68, 50
35038, 54, 50
35078, 27, -50
35118, 8, -50
35158, 5, -50
35199, 5, -50
35239, 5, -50
35283, 12, -50
35326, 41, 50
35366, 72, 50
35407, 81, 50
35448, 80, 50
35489, 75, 50
35529, 64, 50
35570, 38, -50
35614, 16, -50
35656, 6, -50
35698, 6, -50
35738, 10, -50
35778, 38, -50
35819, 68, 50
35859, 76, 50
35899, 78, 50
35939, 79, 50
35979, 78, 50
36019, 79, 50
36064, 69, 50
36105, 32, -50
36146, 11, -50
36186, 5, -50
36227, 6, -50
36267, 5, -50
36308, 14, -50
36348, 53, 50
36388, 77, 50
36428, 81, 50
36468, 79, 50
36508, 79, 50
36549, 73, 50
36590, 45, 50
36630, 18, -50
36675, 8, -50
36720, 6, -50
36764, 6, -50
36806, 5, -50
36847, 9, -50
36887, 35, -50
36928, 68, 50
36970, 78, 50
37010, 79, 50
37054, 79, 50
37095, 79, 50
37135, 78, 50
37175, 71, 50
37216, 43, 50
37259, 15, -50
37304, 6, -50
37348, 6, -50
37389, 6, -50
37432, 5, -50
37475, 5, -50
37515, 22, -50
37556, 44, 50
37597, 65, 50
37637, 77, 50
37679, 78, 50
37721, 75, 50
37762, 72, 50
37805, 51, 50
37846, 18, -50
37889, 6, -50
37930, 5, -50
37975, 5, -50
38015, 5, -50
38056, 12, -50
38096, 34, -50
38138, 53, 50
38183, 69, 50
38227, 75, 50
38268, 75, 50
38309, 75, 50
38349, 70, 50
38389, 56, 50
38429, 29, -50
38469, 13, -50
38513, 5, -50
38553, 5, -50
38597, 5, -50
38637, 9, -50
38678, 30, -50
38718, 56, 50
38759, 67, 50
38802, 75, 50
38842, 72, 50
38887, 71, 50
38928, 70, 50
38969, 62, 50
39010, 34, -50
39051, 13, -50
39095, 5, -50
39135, 5, -50
39175, 7, -50
39215, 20, -50
39256, 46, 50
39297, 66, 50
39338, 75, 50
39382, 74, 50
39425, 72, 50
39466, 56, 50
